EmployeeID,HireDate,Gender,Age,Department,JobRole,Education,YearsExperience,Salary,Location
1,2019-03-25,Male,58,Customer Support,Support Agent,Master,30,122742.69,New York
2,2022-10-11,Male,39,Engineering,Sales Executive,Master,10,104578.37,San Francisco
3,2020-02-03,Non-binary,39,HR,HR Specialist,High School,17,102497.36,San Francisco
4,2015-03-21,Male,35,Engineering,Support Agent,Bachelor,23,39205.72,Seattle
5,2020-04-14,Male,56,Engineering,Analyst,Master,1,89065.5,Austin
6,2015-12-17,Non-binary,26,Marketing,Sales Executive,PhD,16,37664.8,Chicago
7,2020-05-26,Male,25,Sales,Analyst,Master,27,146245.51,San Francisco
8,2020-03-05,Female,36,Finance,HR Specialist,Master,1,61617.84,Boston
9,2015-02-23,Female,60,Engineering,Support Agent,High School,22,147690.39,Seattle
10,2019-05-22,Male,29,Engineering,Support Agent,Bachelor,8,82638.93,Boston
11,2019-03-31,Non-binary,52,Marketing,Support Agent,High School,6,43253.97,Boston
12,2017-03-13,Female,63,Finance,Analyst,High School,39,61565.91,Chicago
13,2017-10-06,Non-binary,63,Marketing,HR Specialist,PhD,24,110267.08,New York
14,2022-09-01,Male,60,HR,Support Agent,Bachelor,14,125463.13,Chicago
15,2015-10-08,Female,38,Marketing,Engineer,High School,30,123334.04,San Francisco
16,2019-08-07,Female,49,Marketing,Sales Executive,PhD,33,149343.59,New York
17,2020-03-14,Female,40,Finance,HR Specialist,High School,25,93017.05,Austin
18,2018-09-02,Non-binary,51,Sales,Sales Executive,Master,19,38816.59,San Francisco
19,2019-03-12,Male,28,Marketing,Engineer,Bachelor,34,147205.73,Seattle
20,2019-08-01,Female,51,HR,HR Specialist,Bachelor,11,87841.22,New York
21,2020-11-04,Female,42,Sales,Support Agent,Master,26,95705.6,San Francisco
22,2021-08-31,Male,22,HR,Engineer,PhD,39,70636.45,Seattle
23,2019-08-19,Male,38,Engineering,Manager,High School,16,39650.99,Boston
24,2020-03-15,Female,55,Engineering,HR Specialist,High School,15,97328.8,New York
25,2020-04-08,Female,40,Customer Support,Sales Executive,High School,5,48495.34,Chicago
26,2021-09-29,Female,32,Marketing,Manager,PhD,37,48291.62,Boston
27,2017-06-16,Male,24,Marketing,Engineer,PhD,31,66403.73,Boston
28,2022-09-06,Female,58,Engineering,Manager,Master,4,149476.96,New York
29,2019-10-14,Male,39,Finance,Analyst,Master,8,53872.84,Chicago
30,2016-09-04,Non-binary,34,Sales,Sales Executive,Master,37,82585.67,Boston
31,2017-10-25,Non-binary,54,Sales,Sales Executive,PhD,32,140887.6,Chicago
32,2022-04-05,Female,38,Marketing,Analyst,Bachelor,29,127947.11,New York
33,2022-11-23,Male,22,Finance,Sales Executive,PhD,34,34465.22,Boston
34,2015-05-16,Non-binary,22,Customer Support,HR Specialist,Master,30,99411.79,San Francisco
35,2020-09-28,Male,50,Customer Support,Sales Executive,Master,27,40183.37,Chicago
36,2021-06-23,Non-binary,31,HR,Support Agent,High School,14,105098.75,San Francisco
37,2017-02-21,Female,25,Customer Support,Engineer,Bachelor,25,41985.21,Chicago
38,2017-02-02,Male,55,Finance,Manager,PhD,0,80347.25,Austin
39,2015-01-03,Non-binary,61,Marketing,Support Agent,PhD,7,82970.69,Austin
40,2017-06-08,Male,43,Marketing,Support Agent,High School,12,74752.28,Seattle
41,2016-09-09,Male,60,Finance,Manager,Bachelor,33,33965.28,San Francisco
42,2021-12-01,Non-binary,54,Sales,Manager,PhD,35,136778.48,New York
43,2018-11-28,Non-binary,32,Engineering,Analyst,Master,19,138962.78,Austin
44,2020-10-12,Male,42,Engineering,Engineer,High School,1,39429.77,Chicago
45,2015-10-11,Non-binary,58,Customer Support,Support Agent,Master,9,81647.85,Chicago
46,2018-10-25,Non-binary,40,Marketing,Sales Executive,High School,8,68971.85,Seattle
47,2017-03-17,Male,23,Finance,HR Specialist,Master,11,89201.06,New York
48,2021-01-29,Non-binary,38,Customer Support,Engineer,Master,3,84720.26,Chicago
49,2015-10-02,Female,59,Finance,Support Agent,PhD,31,65229.78,Chicago
50,2021-02-18,Female,53,Finance,Analyst,Bachelor,35,33202.87,Boston
51,2016-03-13,Non-binary,59,Engineering,Support Agent,High School,37,65093.63,New York
52,2019-10-05,Non-binary,32,Sales,HR Specialist,Master,9,131716.05,Chicago
53,2015-10-01,Non-binary,62,Finance,Sales Executive,High School,7,50165.77,Seattle
54,2019-05-28,Female,58,Sales,Manager,Master,17,35294.35,Austin
55,2019-03-30,Male,26,HR,Manager,PhD,19,115302.69,Seattle
56,2016-09-10,Male,52,Customer Support,Engineer,Master,13,59165.04,Chicago
57,2015-01-18,Female,38,Marketing,Support Agent,Bachelor,5,147754.34,Seattle
58,2020-10-17,Non-binary,46,Sales,HR Specialist,High School,21,50505.78,New York
59,2016-05-03,Female,45,Finance,Support Agent,Bachelor,33,85915.34,New York
60,2021-11-28,Female,64,Marketing,Manager,Master,31,136218.15,Boston
61,2020-06-26,Non-binary,34,Marketing,HR Specialist,PhD,8,59732.88,San Francisco
62,2022-07-04,Non-binary,25,Finance,HR Specialist,PhD,31,122940.16,San Francisco
63,2022-12-04,Female,37,Finance,Engineer,High School,32,139730.32,Austin
64,2015-01-14,Non-binary,50,Engineering,Manager,PhD,35,112078.18,New York
65,2018-04-24,Non-binary,35,HR,Support Agent,Master,30,121351.23,Boston
66,2019-01-24,Non-binary,61,Engineering,Sales Executive,Master,31,61288.77,San Francisco
67,2021-08-07,Female,49,Customer Support,Manager,Master,28,120831.36,Austin
68,2015-05-12,Male,63,Engineering,Manager,High School,29,85928.15,Boston
69,2022-03-15,Female,62,Finance,Manager,Master,38,59339.03,San Francisco
70,2019-07-26,Non-binary,42,Marketing,Engineer,High School,36,67372.15,Chicago
71,2018-05-21,Non-binary,43,Finance,Support Agent,Master,31,87903.85,Boston
72,2016-01-30,Male,47,Engineering,Engineer,Bachelor,10,93091.99,Seattle
73,2018-05-24,Non-binary,32,Sales,Analyst,High School,37,69940.04,Seattle
74,2016-05-10,Non-binary,63,Customer Support,Manager,PhD,33,148393.63,Boston
75,2016-10-05,Male,51,Finance,Sales Executive,PhD,1,143103.02,Boston
76,2018-04-15,Female,64,HR,Manager,High School,20,56820.91,Boston
77,2020-01-10,Male,32,Engineering,HR Specialist,PhD,30,123557.98,Austin
78,2020-09-15,Non-binary,60,Finance,Support Agent,PhD,0,45076.35,Chicago
79,2019-12-03,Male,45,Customer Support,Engineer,High School,25,145841.71,Boston
80,2017-04-19,Non-binary,62,Engineering,Analyst,High School,7,118622.14,New York
81,2020-09-17,Male,37,Engineering,Engineer,High School,18,98103.59,Chicago
82,2018-01-23,Female,36,Sales,Manager,High School,9,133722.0,Boston
83,2022-08-18,Non-binary,46,Engineering,Manager,High School,4,124819.26,Seattle
84,2018-04-09,Female,57,HR,Manager,High School,1,121585.6,Boston
85,2022-12-10,Female,36,Marketing,HR Specialist,High School,17,47521.45,Austin
86,2020-11-13,Non-binary,54,Engineering,Support Agent,Bachelor,21,139243.04,Boston
87,2019-07-09,Non-binary,44,Sales,Engineer,High School,29,74615.43,Chicago
88,2018-01-05,Non-binary,35,Engineering,HR Specialist,High School,13,125420.77,New York
