OrderID,OrderDate,CustomerName,Region,Category,Product,Quantity,UnitPrice,TotalPrice
1,2024-04-12,Fiona,East,Electronics,Keyboard,7,147.96,1035.72
2,2024-12-14,Hannah,North,Accessories,Monitor,5,50.73,253.65
3,2024-09-27,Diana,South,Mobile,Headphones,17,877.77,14922.09
4,2024-04-16,Bob,West,Computing,Keyboard,18,16.77,301.86
5,2024-03-12,George,North,Electronics,Keyboard,11,66.01,726.11
6,2024-07-07,Diana,South,Accessories,Keyboard,15,806.05,12090.75
7,2024-01-21,Alice,West,Computing,Charger,7,285.6,1999.2
8,2024-04-12,Diana,South,Electronics,Headphones,18,724.21,13035.78
9,2024-05-01,Edward,North,Computing,Headphones,6,150.49,902.94
10,2024-08-02,Edward,South,Accessories,Headphones,18,241.1,4339.8
11,2024-11-26,Hannah,East,Computing,Tablet,16,574.91,9198.56
12,2024-03-28,Diana,West,Electronics,Keyboard,2,988.69,1977.38
13,2024-04-09,Edward,South,Computing,Tablet,19,78.08,1483.52
14,2024-12-25,Bob,North,Computing,Smartphone,1,403.55,403.55
15,2024-05-31,Fiona,West,Electronics,Headphones,11,47.87,526.57
16,2024-05-10,Diana,East,Accessories,Charger,5,203.23,1016.15
17,2024-05-29,George,West,Accessories,Mouse,16,907.93,14526.88
18,2024-11-04,Bob,East,Computing,Monitor,1,100.98,100.98
19,2024-09-14,Hannah,West,Mobile,Charger,19,857.57,16293.83
20,2024-12-09,Fiona,South,Computing,Laptop,14,181.91,2546.74
21,2024-10-20,George,South,Mobile,Smartphone,3,862.48,2587.44
22,2024-07-10,Hannah,North,Computing,Mouse,2,540.33,1080.66
23,2024-10-03,George,East,Accessories,Laptop,5,878.82,4394.1
24,2024-06-09,Hannah,North,Computing,Laptop,17,155.95,2651.15
25,2024-11-09,George,South,Computing,Headphones,18,763.23,13738.14
26,2024-01-22,Fiona,East,Mobile,Monitor,1,682.3,682.3
27,2024-09-09,Bob,North,Accessories,Laptop,15,545.22,8178.3
28,2024-08-23,George,North,Mobile,Keyboard,9,811.53,7303.77
29,2024-12-10,George,North,Computing,Mouse,5,650.03,3250.15
30,2024-02-18,Charlie,North,Electronics,Charger,13,877.66,11409.58
31,2024-02-28,Diana,North,Computing,Charger,19,384.16,7299.04
32,2024-06-18,Fiona,East,Computing,Laptop,10,591.97,5919.7
33,2024-07-06,Hannah,North,Mobile,Smartphone,14,871.25,12197.5
34,2024-09-27,Fiona,East,Electronics,Monitor,12,218.74,2624.88
35,2024-07-08,Edward,North,Electronics,Monitor,11,488.31,5371.41
36,2024-06-23,Hannah,South,Mobile,Charger,7,960.94,6726.58
37,2024-02-20,Fiona,South,Accessories,Laptop,17,476.23,8095.91
38,2024-12-29,Bob,North,Electronics,Monitor,18,256.57,4618.26
39,2024-02-24,Hannah,West,Electronics,Smartphone,7,354.32,2480.24
40,2024-08-31,Hannah,South,Mobile,Charger,6,885.66,5313.96
41,2024-11-15,Fiona,East,Accessories,Mouse,11,955.11,10506.21
42,2024-05-10,Hannah,North,Accessories,Smartphone,12,950.36,11404.32
43,2024-11-02,Charlie,East,Computing,Smartphone,16,700.45,11207.2
44,2024-05-14,Diana,West,Computing,Keyboard,19,512.05,9728.95
